raw_character,character_id,character_name
100% quiet runner!,0,NONCHARACTER
20% employee discount and I am going right back after,0,NONCHARACTER
25- INT. PALMER HOUSE - NIGHT,0,NONCHARACTER
"4, INT. BLUE PINE LODGE - DAY",0,NONCHARACTER
CUT TO BLACK,0,NONCHARACTER
DESK INTERCOM,0,NONCHARACTER
DOCTORS DISCOVERED HE WAS ON,0,NONCHARACTER
DOWN THE TRAIN TRACKS FROM THE,0,NONCHARACTER
ENGAGE YOU WITH AN ANECDOTE OF NO,0,NONCHARACTER
EVERYONE,0,NONCHARACTER
FROM BEHIND THE DOOR,0,NONCHARACTER
GUYS MAKE A LIVING LOOKING THROUGH,0,NONCHARACTER
HANGOVER WAS RAW MEAT AND PLENTY,0,NONCHARACTER
HAVE MY FULL SUPPORT IN THIS,0,NONCHARACTER
MAKES PEOPLE WHO NEED PEOPLE THE ,0,NONCHARACTER
ONE EVER MENTIONED A THING ABOUT A,0,NONCHARACTER
OTHER THAN THAT THE CASE BEARS NO,0,NONCHARACTER
REPORT FROM ALBERT ON THE ONE,0,NONCHARACTER
SHREDDING YOUR INTERNAL ORGANS OUT OF,0,NONCHARACTER
STEAK SO RARE YOU COULD SELL IT AT,0,NONCHARACTER
THAT MAKES YOU WISH YOU,0,NONCHARACTER
TOP DOG TO INVESTIGATE THE DRUG,0,NONCHARACTER
TROUBLE YOU FOR A CUP OF STRONG,0,NONCHARACTER
VOICE,0,NONCHARACTER
VOICE ON PHONE,0,NONCHARACTER
WOMAN,0,NONCHARACTER
YOUNG WOMAN,0,NONCHARACTER
YOUTH,0,NONCHARACTER
MAN,0,NONCHARACTER
OLD MAN,0,NONCHARACTER
ALBERT,1,ALBERT
ANDREW,2,ANDREW
ANDREW PETE,2,ANDREW
ANDY,3,ANDY
ANDY ,3,ANDY
ANNIE,4,ANNIE
ANNOUNCER,5,ANNOUNCER
ASIAN MAN,6,ASIAN MAN
AUDREY,7,AUDREY
AUDREY ,7,AUDREY
BARTENDER,8,BARTENDER
BATTIS,9,BATTIS
BATTIS ,9,BATTIS
BEN,10,BENJAMIN
BENJAMIN,10,BENJAMIN
HORNE,10,BENJAMIN
BERNARD,11,BERNARD
BETTY,12,BETTY
BIG ED,13,ED
ED,13,ED
BLACKIE,14,BLACKIE
BOBBY,15,BOBBY
BODYGUARD,16,BODYGUARD
BRENNAN,17,BRENNAN
BRIDE,18,BRIDE
BRIGGS,19,MAJOR BRIGGS
BRIGGS ,19,MAJOR BRIGGS
MAJOR BRIGGS,19,MAJOR BRIGGS
BROCKMAN,20,BROCKMAN
CAPPY,21,CAPPY
CARETAKER,22,CARETAKER
CATHERINE,23,CATHERINE
CATHERINE ,23,CATHERINE
CHEERING GIRL,24,CHEERING GIRL
CHET,25,CHET
CLERK,26,CLERK
COACH,27,COACH
COLE,28,COLE
COLLEEN,29,COLLEEN
COOPER,30,COOPER
COOPER ,30,COOPER
COOPER AS BOY,30,COOPER
COOPER TRUMAN,30,COOPER
COP,31,COP
CRAIG,32,CRAIG
DARYL LODWICK,33,DARYL LODWICK
DENISE,34,DENISE
DESK CLERK,35,DESK CLERK
DOC,36,DOC HAYWARD
DOC HAYWARD,36,DOC HAYWARD
DONNA,37,DONNA
DONNA ,37,DONNA
DOUGIE,38,DOUGIE
DWAYNE,39,DWAYNE
EARLE,40,EARLE
EARLE ON SCREEN,40,EARLE
WINDOM,40,EARLE
ECKHARDT,41,ECKHARDT
EILEEN,42,EILEEN
EINER,43,EINER
EMERALD,44,EMERALD
EMILE,45,EMILE
ERNIE,47,ERNIE
EVELVN,48,EVELYN
EVELYN,48,EVELYN
FATHER CLARENCE,51,FATHER CLARENCE
GERARD,53,GERARD
GIRARD,53,GERARD
GIANT,54,GIANT
GREEGE,56,GREEGE
GWEN,58,GWEN
HANK,60,HANK
HARDY,61,HARDY
HAROLD,62,HAROLD
HAWK,64,HAWK
HAWKS,64,HAWK
HAYWARD,66,HAYWARD
HEBA,67,HEBA
HORSE,69,HORSE
HUSBAND,70,HUSBAND
JACOBY,71,JACOBY
JACQUES,72,JACQUES
JADE,73,JADE
JAMES,74,JAMES
JANEK,75,JANEK
JEAN,76,JEAN
JEFFREY,77,JEFFREY
JERRY,78,JERRY
JOHNNY,79,JOHNNY
JOHNNYS VOICE,79,JOHNNY
JOISE,81,JOISE
JONATHAN,82,JONATHAN
JONES,83,JONES
JOSIE,84,JOSIE
KILLER BOB,85,KILLER BOB
LANA,86,LANA
LAURA,87,LAURA
LAZARE,88,LAZARE
LELAND,89,LELAND
LELAND ,89,LELAND
PALMER,89,LELAND
LEO,91,LEO
LITTLE MAN,92,LITTLE MAN
LITTLEHORSE,93,LITTLEHORSE
LODWICK,94,LODWICK
LOG LADY,95,LOG LADY
LOOMER,96,LOOMER
LUCE,97,LUCE
LUCY,97,LUCE
MADDY,99,MADELEINE
MADELEINE,99,MADELEINE
MALCOLM,103,MALCOLM
MALCOM,103,MALCOLM
MALE BOARD MEMBER,105,MALE BOARD MEMBER
MAN IN DRESS,107,MAN IN DRESS
MIBBLER,108,MIBBLER
MIKE,109,MIKE
MILFORD,110,MILFORD
MODEL,111,MODEL
MOONEY,112,MOONEY
MOUNTIE,113,MOUNTIE
NADINE,114,NADINE
NANCY,115,NANCY
NICKY,116,NICKY
NILES,117,NILES
NORM,118,NORMA
NORMA,118,NORMA
NURSE,120,NURSE
PETE,125,PETE
PETE ,125,PETE 
PINKLE,127,PINKLE
RACINE,128,RACINE
READING GIRL,129,READING GIRL
REILLY,130,REILLY
RENAULT,131,RENAULT
REVEREND,133,REVEREND
SARAH,134,SARAH
SHELLY,135,SHELLY
SMITH,137,SMITH
SPARKY,138,SPARKY
STERNWOOD,140,STERNWOOD
STERNWOOD ,140,STERNWOOD
STRANGER,142,STRANGER
SWABBIE,143,SWABBIE
SWAIN,144,SWAIN
TIM,146,TIM
TOJAMURA,147,TOJAMURA
