raw_character,character_id,character_name,character_group,character_image
100% quiet runner!,-1,NONCHARACTER,0,
20% employee discount and I am going right back after,-1,NONCHARACTER,0,
25- INT. PALMER HOUSE - NIGHT,-1,NONCHARACTER,0,
"4, INT. BLUE PINE LODGE - DAY",-1,NONCHARACTER,0,
ALL,-1,NONCHARACTER,0,
CUT TO BLACK,-1,NONCHARACTER,0,
DESK INTERCOM,-1,NONCHARACTER,0,
DOCTORS DISCOVERED HE WAS ON,-1,NONCHARACTER,0,
DOWN THE TRAIN TRACKS FROM THE,-1,NONCHARACTER,0,
ENGAGE YOU WITH AN ANECDOTE OF NO,-1,NONCHARACTER,0,
EVERYONE,-1,NONCHARACTER,0,
FROM BEHIND THE DOOR,-1,NONCHARACTER,0,
GUYS MAKE A LIVING LOOKING THROUGH,-1,NONCHARACTER,0,
HANGOVER WAS RAW MEAT AND PLENTY,-1,NONCHARACTER,0,
HAVE MY FULL SUPPORT IN THIS,-1,NONCHARACTER,0,
MAKES PEOPLE WHO NEED PEOPLE THE,-1,NONCHARACTER,0,
MAN,-1,NONCHARACTER,0,
OLD MAN,-1,NONCHARACTER,0,
ONE EVER MENTIONED A THING ABOUT A,-1,NONCHARACTER,0,
OTHER THAN THAT THE CASE BEARS NO,-1,NONCHARACTER,0,
REPORT FROM ALBERT ON THE ONE,-1,NONCHARACTER,0,
SHREDDING YOUR INTERNAL ORGANS OUT OF,-1,NONCHARACTER,0,
STEAK SO RARE YOU COULD SELL IT AT,-1,NONCHARACTER,0,
THAT MAKES YOU WISH YOU,-1,NONCHARACTER,0,
TOP DOG TO INVESTIGATE THE DRUG,-1,NONCHARACTER,0,
TROUBLE YOU FOR A CUP OF STRONG,-1,NONCHARACTER,0,
VOICE,-1,NONCHARACTER,0,
VOICE ON PHONE,-1,NONCHARACTER,0,
WOMAN,-1,NONCHARACTER,0,
WOMAN BOARD MEMBER,-1,NONCHARACTER,0,
YOUNG WOMAN,-1,NONCHARACTER,0,
YOUTH,-1,NONCHARACTER,0,
ALBERT,0,ALBERT,1,http://vignette2.wikia.nocookie.net/twinpeaks/images/0/07/Albert-Portal.jpg
ANDREW,1,ANDREW,5,http://vignette4.wikia.nocookie.net/twinpeaks/images/8/8d/Andrew-Portal.jpg
ANDREW PETE,1,ANDREW,5,http://vignette4.wikia.nocookie.net/twinpeaks/images/8/8d/Andrew-Portal.jpg
ANDY,2,ANDY,1,http://vignette4.wikia.nocookie.net/twinpeaks/images/5/59/Andy-Portal.jpg
ANDY,2,ANDY,1,http://vignette4.wikia.nocookie.net/twinpeaks/images/5/59/Andy-Portal.jpg
ANNIE,3,ANNIE,2,http://vignette2.wikia.nocookie.net/twinpeaks/images/a/ad/Annie-Portal.jpg
ANNOUNCER,4,ANNOUNCER,7,https://upload.wikimedia.org/wikipedia/commons/8/83/David_face.png
ASIAN MAN,5,ASIAN MAN,7,https://upload.wikimedia.org/wikipedia/commons/8/83/David_face.png
